steps,reward
42550,263.9
42600,305.2
42650,244.9
42700,307.9
42750,262.5
42800,256.6
42850,242.5
42900,226.8
42950,277.1
43000,287.7
43050,236.3
43100,219.6
43150,202.4
43200,260.4
43250,245.6
43300,245.2
43350,290.1
43400,276.4
43450,270.4
43500,243.4
43550,391.7
43600,260.3
43650,344.3
43700,329.3
43750,283.7
43800,359.7
43850,331.5
43900,380.5
43950,347.7
44000,367.4
44050,406.4
44100,413.7
44150,395.7
44200,356.5
44250,340.5
44300,363.4
44350,345.8
44400,403.1
44450,367.2
44500,433.4
44550,410.6
44600,321.5
44650,302.9
44700,293.5
44750,364.6
44800,354.9
44850,397.3
44900,403.5
44950,376.2
45000,350.5
45050,382.3
45100,341.8
45150,299.7
45200,363.2
45250,449.3
45300,500.0
45350,463.1
45400,489.6
45450,498.3
45500,500.0
45550,500.0
45600,480.0
45650,500.0
45700,500.0
45750,500.0
45800,500.0
45850,455.4
45900,500.0
45950,466.3
46000,500.0
46050,482.1
46100,497.8
46150,496.1
46200,484.3
46250,378.5
46300,423.0
46350,378.0
46400,371.8
46450,362.2
46500,372.7
46550,361.3
46600,341.6
46650,307.7
46700,323.6
46750,345.0
46800,300.7
46850,281.0
46900,281.4
46950,276.9
47000,231.8
47050,224.5
47100,238.4
47150,210.1
47200,252.9
47250,275.4
47300,329.3
47350,312.3
47400,326.5
47450,329.6
47500,357.8
47550,412.0
47600,478.3
47650,471.4
47700,469.1
47750,436.4
47800,464.5
47850,424.4
47900,392.0
47950,369.6
48000,358.2
48050,410.1
48100,378.8
48150,389.6
48200,378.2
48250,318.8
48300,310.5
48350,282.6
48400,282.0
48450,306.4
48500,328.2
48550,277.7
48600,287.6
48650,342.3
48700,347.2
48750,367.1
48800,307.3
48850,456.3
48900,419.0
48950,363.7
49000,478.8
49050,498.9
49100,500.0
49150,499.3
49200,461.5
49250,500.0
49300,500.0
49350,500.0
49400,459.5
49450,500.0
49500,494.2
49550,495.8
49600,492.3
49650,498.2
49700,500.0
49750,482.5
49800,500.0
49850,500.0
49900,500.0
49950,472.8
50000,471.7
50050,433.8
50100,389.5
50150,381.1
50200,438.6
50250,434.7
50300,415.1
50350,417.7
50400,345.0
50450,378.0
50500,330.2
50550,399.3
50600,448.7
50650,408.0
50700,388.4
50750,372.3
50800,441.5
50850,470.1
50900,411.1
50950,475.7
51000,450.1
51050,404.5
51100,485.6
51150,447.1
51200,451.6
51250,445.6
51300,490.1
51350,500.0
51400,500.0
51450,500.0
51500,499.9
51550,500.0
51600,500.0
51650,489.7
51700,465.7
51750,500.0
51800,467.9
51850,407.6
51900,451.3
51950,431.2
52000,400.3
52050,357.5
52100,422.6
52150,433.1
52200,416.8
52250,440.9
52300,384.6
52350,367.8
52400,295.4
52450,397.4
52500,418.9
52550,418.6
52600,454.7
52650,471.7
52700,500.0
52750,488.6
52800,455.3
52850,470.2
52900,473.0
52950,493.3
53000,461.7
53050,482.7
53100,477.3
53150,467.5
53200,500.0
53250,464.7
53300,483.3
53350,486.8
53400,481.9
53450,485.6
53500,451.8
53550,500.0
53600,500.0
53650,486.0
53700,500.0
53750,454.9
53800,500.0
53850,486.0
53900,500.0
53950,500.0
54000,485.2
54050,500.0
54100,500.0
54150,477.3
54200,500.0
54250,500.0
54300,500.0
54350,494.6
54400,492.0
54450,485.7
54500,441.5
54550,494.4
54600,484.6
54650,473.8
54700,490.1
54750,492.7
54800,500.0
54850,500.0
54900,470.3
54950,494.5
55000,498.6
55050,496.0
55100,500.0
55150,500.0
55200,500.0
55250,497.3
55300,496.7
55350,499.2
55400,469.7
55450,476.4
55500,473.6
55550,459.2
55600,466.7
55650,487.4
55700,469.5
55750,474.6
55800,482.3
55850,492.0
55900,490.9
55950,488.2
56000,497.5
56050,500.0
56100,462.7
56150,473.1
56200,500.0
56250,483.8
56300,500.0
56350,480.6
56400,500.0
56450,495.1
56500,440.6
56550,500.0
56600,500.0
56650,500.0
56700,474.8
56750,500.0
56800,500.0
56850,491.9
56900,500.0
56950,500.0
57000,500.0
57050,466.6
57100,500.0
57150,500.0
57200,500.0
57250,500.0
57300,500.0
57350,468.7
57400,470.0
57450,500.0
57500,491.1
57550,478.2
57600,500.0
57650,500.0
57700,500.0
57750,481.2
57800,475.2
57850,500.0
57900,473.5
57950,481.0
58000,473.8
58050,495.4
58100,500.0
58150,469.7
58200,471.2
58250,500.0
58300,500.0
58350,478.6
58400,500.0
58450,437.0
58500,500.0
58550,462.1
58600,480.3
58650,473.8
58700,497.7
58750,496.5
58800,500.0
58850,500.0
58900,462.3
58950,442.3
59000,466.1
59050,457.1
59100,453.2
59150,441.9
59200,500.0
59250,482.5
59300,446.8
59350,464.2
59400,485.5
59450,460.4
59500,476.1
59550,482.4
59600,488.8
59650,481.8
59700,454.5
59750,471.7
59800,477.1
59850,500.0
59900,498.8
59950,486.2
60000,500.0
